Date,1540.T,1541.T,1542.T,1543.T
2025-11-21,,6975.0,,60400.0
2025-11-25,,7098.0,,63020.0
2025-11-26,,7090.0,,62840.0
2025-11-27,,7285.0,,63190.0
2025-11-28,,7485.0,,64420.0
2025-12-01,,7775.0,,64540.0
2025-12-02,,7502.0,,63240.0
2025-12-03,,7520.0,,64510.0
2025-12-04,,7444.0,,64220.0
2025-12-05,,7470.0,,64610.0
2025-12-08,,7520.0,,64930.0
2025-12-09,,7506.0,,65500.0
2025-12-10,,7653.0,,66940.0
2025-12-11,,7690.0,,66630.0
