2511.T,2512.T,2853.T,1484.T,1364.T,1474.T,1493.T,1591.T,1592.T,1593.T,1599.T,159A.T,2017.T,2526.T,2567.T,1328.T,1632.T,1399.T,1478.T,1489.T,1494.T,1577.T,1651.T,2011.T,2084.T,2085.T,235A.T,2849.T,1681.T,2520.T,1477.T,1554.T,1657.T,2250.T,234A.T,2518.T,2564.T,2636.T,2643.T,2848.T,2851.T,1545.T,2087.T,2568.T,2569.T,2840.T,2841.T,2845.T,1547.T,1655.T,2086.T,2247.T,2248.T,2521.T,2558.T,2563.T,2630.T,2633.T,2634.T,1630.T,2092.T,2246.T,2259.T,2861.T,2862.T,181A.T,182A.T,183A.T,2015.T,2016.T,2090.T,2245.T,2647.T,2648.T,2838.T,2839.T,1626.T,1486.T,1487.T,1566.T,2256.T,2510.T,2519.T,2622.T,2527.T,2528.T,1343.T,1345.T,1398.T,1488.T,1555.T,1595.T,2018.T,2515.T,2552.T,2555.T,2556.T,2864.T,1698.T,1476.T,1597.T,1660.T,2096.T,2097.T,2098.T,210A.T,2517.T,2565.T,2852.T,2855.T
,,,,,,,,,,,,,,,,12573.0634765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9761.0029296875,,,,,,,,,,,,,,,,,10036.623046875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,12186.7939453125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9658.212890625,,,,,,,,,,,,,,,,,9896.3828125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,12038.60546875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9570.0693359375,,,,,,,,,,,,,,,,,9784.353515625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,12025.7353515625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9730.2314453125,,,,,,,,,,,,,,,,,9806.6796875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,11721.1875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9569.8232421875,,,,,,,,,,,,,,,,,9757.1103515625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,11912.0751953125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9451.892578125,,,,,,,,,,,,,,,,,9723.09765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,12211.787109375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9598.9599609375,,,,,,,,,,,,,,,,,9903.9580078125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,12140.0068359375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9625.1474609375,,,,,,,,,,,,,,,,,9981.0107421875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,12011.9794921875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9590.119140625,,,,,,,,,,,,,,,,,10029.2080078125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,11584.8505859375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9418.666015625,,,,,,,,,,,,,,,,,9878.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
